AREA_NAME,HOOD_ID,ASSAULT_2021,ASSAULT_RATE_2021,AUTOTHEFT_2021,AUTOTHEFT_RATE_2021,BIKETHEFT_2021,BIKETHEFT_RATE_2021,BREAKENTER_2021,BREAKENTER_RATE_2021,HOMICIDE_2021,HOMICIDE_RATE_2021,ROBBERY_2021,ROBBERY_RATE_2021,SHOOTING_2021,SHOOTING_RATE_2021,THEFTFROMMV_2021,THEFTFROMMV_RATE_2021,THEFTOVER_2021,THEFTOVER_RATE_2021,TOTAL_CRIME_COUNT
South Eglinton-Davisville,174,106,429.55,15,60.79,33,133.73,44,178.3,1,4.05,9,36.47,0,0.0,22,89.15,6,24.31,236
North Toronto,173,118,703.09,14,83.42,23,137.04,49,291.96,0,0.0,12,71.5,1,5.96,16,95.33,2,11.92,235
Dovercourt Village,172,115,883.39,10,76.82,27,207.41,19,145.95,0,0.0,22,169.0,2,15.36,18,138.27,2,15.36,215
Junction-Wallace Emerson,171,182,735.0,34,137.31,36,145.38,76,306.92,0,0.0,11,44.42,4,16.15,53,214.04,8,32.31,404
Yonge-Bay Corridor,170,325,2359.35,16,116.15,167,1212.34,112,813.07,1,7.26,50,362.98,0,0.0,63,457.35,26,188.75,760
Bay-Cloverhill,169,146,779.04,23,122.73,58,309.48,38,202.76,0,0.0,21,112.05,0,0.0,21,112.05,10,53.36,317
Bendale-Glen Andrew,156,129,643.36,76,379.03,4,19.95,19,94.76,0,0.0,49,244.38,5,24.94,41,204.48,7,34.91,330
Downsview,155,138,731.71,61,323.44,6,31.81,28,148.46,0,0.0,11,58.32,0,0.0,56,296.92,5,26.51,305
Oakdale-Beverley Heights,154,292,1312.54,115,516.92,9,40.45,63,283.18,0,0.0,29,130.35,9,40.45,113,507.93,18,80.91,648
Avondale,153,49,335.87,30,205.63,20,137.09,17,116.53,0,0.0,6,41.13,0,0.0,25,171.36,5,34.27,152
East Willowdale,152,54,333.48,47,290.25,12,74.11,26,160.56,0,0.0,10,61.76,1,6.18,54,333.48,5,30.88,209
Yonge-Doris,151,71,331.2,37,172.6,13,60.64,19,88.63,0,0.0,25,116.62,0,0.0,78,363.86,9,41.98,252
