neighbourhood_name,neighbourhood_id,tsns_designation,total_population,median_income,average_income,median_after_tax_income,average_after_tax_income,market_income_percent,employment_income_percent,government_support_percent,low_income_percent,percent_without_income,median_to_average_ratio,is_improvement_area
West Humber-Clairville,1,Not an NIA or Emerging Neighbourhood,33300,33600,40560,31600,35800,74.2,65.8,10.5,8.7,4.982758620689655,0.8284023668639053,0
Mount Olive-Silverstone-Jamestown,2,Neighbourhood Improvement Area,31345,29600,35000,28400,31760,64.8,58.9,13.6,15.6,6.489962970181251,0.8457142857142858,1
Thistletown-Beaumond Heights,3,Neighbourhood Improvement Area,9850,32800,41520,30600,36360,72.6,63.5,9.9,11.8,5.269461077844311,0.789980732177264,1
Rexdale-Kipling,4,Not an NIA or Emerging Neighbourhood,10375,33600,42040,31800,36880,73.4,64.2,9.3,13.5,4.034090909090909,0.7992388201712655,0
Elms-Old Rexdale,5,Neighbourhood Improvement Area,9355,34400,41240,32400,36440,70.6,62.0,11.1,12.4,5.422853453841188,0.8341416100872939,1
Kingsview Village-The Westway,6,Neighbourhood Improvement Area,22005,34400,44880,32400,38640,72.8,59.0,9.6,14.7,4.7250621718706824,0.7664884135472371,1
Willowridge-Martingrove-Richview,7,Not an NIA or Emerging Neighbourhood,22445,40800,53750,37200,45160,79.6,63.3,6.1,9.5,4.249142253892848,0.7590697674418605,0
Humber Heights-Westmount,8,Emerging Neighbourhood,10005,40400,60900,36400,50160,82.4,66.2,5.5,10.2,3.7659327925840094,0.6633825944170771,0
Edenbridge-Humber Valley,9,Not an NIA or Emerging Neighbourhood,15190,48400,98200,42400,68700,90.6,63.4,3.0,8.2,3.5823170731707314,0.49287169042769857,0
Princess-Rosethorn,10,Not an NIA or Emerging Neighbourhood,11170,58800,101900,50400,70900,92.0,65.4,2.7,5.6,4.246284501061571,0.577036310107949,0
Eringate-Centennial-West Deane,11,Not an NIA or Emerging Neighbourhood,18450,44400,57000,40000,47240,83.2,67.4,5.2,5.6,3.225806451612903,0.7789473684210526,0
Markland Wood,12,Not an NIA or Emerging Neighbourhood,10365,46800,71900,42800,55800,86.6,67.0,3.8,6.0,3.5891772501380452,0.650904033379694,0
Etobicoke West Mall,13,Not an NIA or Emerging Neighbourhood,11865,39200,48240,35600,41360,78.6,68.2,8.2,11.0,4.858701041150223,0.8126036484245439,0
Kingsway South,15,Not an NIA or Emerging Neighbourhood,8855,74500,153000,61600,102400,95.6,70.0,1.1,4.3,3.436657681940701,0.4869281045751634,0
Stonegate-Queensway,16,Not an NIA or Emerging Neighbourhood,25650,48400,78900,43200,59250,89.0,73.0,3.7,8.5,3.82730455075846,0.6134347275031685,0
New Toronto,18,Not an NIA or Emerging Neighbourhood,11345,37600,52450,34800,43520,80.4,72.2,6.9,15.8,3.8164002062919034,0.7168732125834127,0
Long Branch,19,Not an NIA or Emerging Neighbourhood,11360,46000,61500,41200,48680,85.2,75.2,5.6,11.2,3.8894575230296824,0.7479674796747967,0
Alderwood,20,Not an NIA or Emerging Neighbourhood,12595,45200,60200,40800,49080,84.6,74.4,5.1,6.2,2.8422548555187115,0.7508305647840532,0
Humber Summit,21,Neighbourhood Improvement Area,12185,31200,38400,29800,34080,68.2,59.1,11.0,12.2,6.1352657004830915,0.8125,1
Humbermede,22,Neighbourhood Improvement Area,16955,32400,38280,30600,34240,69.0,62.6,12.0,13.3,5.9224694903086865,0.8463949843260188,1
Pelmo Park-Humberlea,23,Not an NIA or Emerging Neighbourhood,11290,39600,49000,35200,41720,79.8,71.0,7.3,7.7,4.9504950495049505,0.8081632653061225,0
Black Creek,24,Neighbourhood Improvement Area,21145,29400,33720,28200,30800,60.2,54.9,14.7,19.4,6.534422403733956,0.8718861209964412,1
Glenfield-Jane Heights,25,Neighbourhood Improvement Area,30020,30400,35840,29000,32480,62.9,56.8,13.1,14.9,6.362185879537295,0.8482142857142857,1
York University Heights,27,Neighbourhood Improvement Area,28255,32400,39200,30600,34680,72.2,64.8,12.1,13.8,5.369952859192457,0.826530612244898,1
Rustic,28,Neighbourhood Improvement Area,9390,31400,40120,29800,35480,66.4,56.1,11.9,19.1,5.602060528010303,0.7826520438683948,1
Maple Leaf,29,Not an NIA or Emerging Neighbourhood,9845,37200,47560,34000,40600,76.2,62.2,8.4,9.0,4.531902206320812,0.7821698906644239,0
Brookhaven-Amesbury,30,Not an NIA or Emerging Neighbourhood,17495,34400,42240,32400,36920,71.2,63.7,10.9,13.8,6.202356202356203,0.8143939393939394,0
Yorkdale-Glen Park,31,Emerging Neighbourhood,16625,36400,46960,33600,40080,78.2,67.8,8.1,12.2,4.359766563680055,0.7751277683134583,0
Englemount-Lawrence,32,Emerging Neighbourhood,21285,37200,63450,34400,50960,83.0,62.3,6.0,13.4,5.153121319199058,0.5862884160756501,0
Clanton Park,33,Not an NIA or Emerging Neighbourhood,17620,42000,62750,38000,50080,85.6,70.8,6.1,10.6,3.924221921515562,0.6693227091633466,0
Bathurst Manor,34,Not an NIA or Emerging Neighbourhood,15955,37600,54400,34800,42560,81.6,67.8,7.1,11.4,4.824561403508771,0.6911764705882353,0
Westminster-Branson,35,Emerging Neighbourhood,25705,33600,43360,31200,37600,74.6,61.6,10.2,13.7,3.8306451612903225,0.7749077490774908,0
Newtonbrook West,36,Not an NIA or Emerging Neighbourhood,23805,32800,43440,30600,37200,76.8,63.9,10.2,15.3,5.897617362585515,0.7550644567219152,0
