AREA_NAME,HOOD_ID,ASSAULT_2020,ASSAULT_RATE_2020,AUTOTHEFT_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_2020,BIKETHEFT_RATE_2020,BREAKENTER_2020,BREAKENTER_RATE_2020,HOMICIDE_2020,ASSAULT_2020,HOMICIDE_RATE_2020,ROBBERY_2020,ROBBERY_RATE_2020,SHOOTING_2020,SHOOTING_RATE_2020,THEFTFROMMV_2020,THEFTFROMMV_RATE_2020,THEFTOVER_2020,THEFTOVER_RATE_2020,TOTAL_CRIME_COUNT
South Eglinton-Davisville,174,74,315.27,14,59.65,92,391.96,69,293.97,1,74,4.26,16,68.17,1,4.26,41,174.68,4,17.04,386
North Toronto,173,80,510.3,12,76.55,52,331.7,89,567.71,1,80,6.38,3,19.14,0,0.0,26,165.85,7,44.65,350
Dovercourt Village,172,91,698.5,24,184.22,32,245.62,47,360.76,1,91,7.68,16,122.81,0,0.0,68,521.95,3,23.03,373
Junction-Wallace Emerson,171,171,696.88,44,179.31,54,220.07,110,448.28,0,171,0.0,23,93.73,4,16.3,144,586.84,9,36.68,730
Yonge-Bay Corridor,170,377,2841.64,14,105.52,172,1296.45,148,1115.55,0,377,0.0,55,414.56,2,15.07,135,1017.56,35,263.81,1315
Bay-Cloverhill,169,106,588.01,9,49.93,59,327.29,80,443.78,0,106,0.0,18,99.85,0,0.0,35,194.15,7,38.83,420
Bendale-Glen Andrew,156,134,673.3,46,231.13,1,5.02,20,100.49,1,134,5.02,19,95.47,7,35.17,44,221.08,4,20.1,410
Downsview,155,124,682.22,52,286.09,5,27.51,45,247.58,2,124,11.0,6,33.01,3,16.51,76,418.13,10,55.02,447
Oakdale-Beverley Heights,154,235,1081.26,103,473.91,11,50.61,44,202.45,0,235,0.0,49,225.45,5,23.01,158,726.97,14,64.42,854
Avondale,153,41,283.87,32,221.56,37,256.18,13,90.01,1,41,6.92,9,62.31,1,6.92,36,249.26,3,20.77,214
East Willowdale,152,40,248.86,23,143.1,16,99.55,36,223.98,0,40,0.0,18,111.99,2,12.44,47,292.42,4,24.89,226
Yonge-Doris,151,62,290.48,18,84.33,26,121.81,27,126.5,0,62,0.0,11,51.54,0,0.0,85,398.24,9,42.17,300
Fenside-Parkwoods,150,113,529.22,21,98.35,2,9.37,24,112.4,0,113,0.0,5,23.42,3,14.05,49,229.49,1,4.68,331
Parkwoods-O'Connor Hills,149,37,257.21,23,159.89,2,13.9,24,166.84,1,37,6.95,4,27.81,2,13.9,37,257.21,1,6.95,168
East L'Amoreaux,148,104,466.62,14,62.81,1,4.49,23,103.19,0,104,0.0,11,49.35,3,13.46,34,152.55,2,8.97,296
L'Amoreaux West,147,85,379.36,21,93.72,5,22.32,25,111.58,3,85,13.39,16,71.41,8,35.7,39,174.06,3,13.39,290
Malvern East,146,166,615.86,42,155.82,3,11.13,14,51.94,1,166,3.71,16,59.36,9,33.39,61,226.31,4,14.84,482
Malvern West,145,73,403.81,24,132.76,4,22.13,11,60.85,0,73,0.0,8,44.25,6,33.19,31,171.48,2,11.06,232
Morningside Heights,144,82,315.63,43,165.51,0,0.0,19,73.13,0,82,0.0,16,61.59,4,15.4,76,292.53,7,26.94,329
West Rouge,143,66,306.38,20,92.84,7,32.49,19,88.2,1,66,4.64,26,120.69,2,9.28,53,246.03,3,13.93,263
Woburn North,142,185,667.36,63,227.26,0,0.0,25,90.18,1,185,3.61,26,93.79,2,7.21,80,288.59,13,46.9,580
Golfdale-Cedarbrae-Woburn,141,167,592.79,37,131.34,3,10.65,40,141.98,1,167,3.55,28,99.39,12,42.6,64,227.18,4,14.2,523
Guildwood,140,37,367.06,11,109.13,4,39.68,3,29.76,0,37,0.0,3,29.76,1,9.92,34,337.3,1,9.92,131
