Neighbourhood Name                   , Neighbourhood Number, TSNS 2020 Designation                                         , Total_Population, Population_0_14, Population_15_64, Population_65_plus, Average_Age, Median_Age, Median_Income_2020, Average_Income_2020, Median_After_Tax_Income_2020, Average_After_Tax_Income_2020, Youth_Ratio, Working_Age_Ratio, Senior_Ratio
West Humber-Clairville               ,                    1, Not an NIA or Emerging Neighbourhood                          ,            33300,            4295,            23640,               5360,        40.5,       38.0,              33600,               40560,                        31600,                         35800,        12.9,              71.0,         16.1
Mount Olive-Silverstone-Jamestown    ,                    2, Neighbourhood Improvement Area                                ,            31345,            5690,            21490,               4170,        37.8,       36.0,              29600,               35000,                        28400,                         31760,        18.2,              68.6,         13.3
Thistletown-Beaumond Heights         ,                    3, Neighbourhood Improvement Area                                ,             9850,            1495,             6615,               1740,        41.0,       39.2,              32800,               41520,                        30600,                         36360,        15.2,              67.2,         17.7
Rexdale-Kipling                      ,                    4, Not an NIA or Emerging Neighbourhood                          ,            10375,            1575,             6950,               1850,        41.9,       42.0,              33600,               42040,                        31800,                         36880,        15.2,              67.0,         17.8
Elms-Old Rexdale                     ,                    5, Neighbourhood Improvement Area                                ,             9355,            1610,             6355,               1390,        39.6,       38.4,              34400,               41240,                        32400,                         36440,        17.2,              67.9,         14.9
Kingsview Village-The Westway        ,                    6, Neighbourhood Improvement Area                                ,            22005,            3915,            14385,               3705,        40.1,       38.8,              34400,               44880,                        32400,                         38640,        17.8,              65.4,         16.8
Willowridge-Martingrove-Richview     ,                    7, Not an NIA or Emerging Neighbourhood                          ,            22445,            3500,            13865,               5085,        44.0,       44.4,              40800,               53750,                        37200,                         45160,        15.6,              61.8,         22.7
Humber Heights-Westmount             ,                    8, Emerging Neighbourhood                                        ,            10005,            1370,             6245,               2385,        45.5,       47.2,              40400,               60900,                        36400,                         50160,        13.7,              62.4,         23.8
Edenbridge-Humber Valley             ,                    9, Not an NIA or Emerging Neighbourhood                          ,            15190,            2070,             9650,               3470,        45.1,       46.8,              48400,               98200,                        42400,                         68700,        13.6,              63.5,         22.8
Princess-Rosethorn                   ,                   10, Not an NIA or Emerging Neighbourhood                          ,            11170,            1750,             7110,               2310,        43.7,       46.0,              58800,              101900,                        50400,                         70900,        15.7,              63.7,         20.7
Eringate-Centennial-West Deane       ,                   11, Not an NIA or Emerging Neighbourhood                          ,            18450,            2640,            11820,               3985,        44.6,       46.4,              44400,               57000,                        40000,                         47240,        14.3,              64.1,         21.6
Markland Wood                        ,                   12, Not an NIA or Emerging Neighbourhood                          ,            10365,            1315,             6290,               2765,        47.5,       50.8,              46800,               71900,                        42800,                         55800,        12.7,              60.7,         26.7
Etobicoke West Mall                  ,                   13, Not an NIA or Emerging Neighbourhood                          ,            11865,            1780,             8165,               1920,        41.0,       39.6,              39200,               48240,                        35600,                         41360,        15.0,              68.8,         16.2
Kingsway South                       ,                   15, Not an NIA or Emerging Neighbourhood                          ,             8855,            1435,             5355,               2065,        44.7,       48.0,              74500,              153000,                        61600,                        102400,        16.2,              60.5,         23.3
Stonegate-Queensway                  ,                   16, Not an NIA or Emerging Neighbourhood                          ,            25650,            4225,            16795,               4635,        42.5,       43.6,              48400,               78900,                        43200,                         59250,        16.5,              65.5,         18.1
New Toronto                          ,                   18, Not an NIA or Emerging Neighbourhood                          ,            11345,            1645,             7880,               1810,        41.1,       40.4,              37600,               52450,                        34800,                         43520,        14.5,              69.5,         16.0
Long Branch                          ,                   19, Not an NIA or Emerging Neighbourhood                          ,            11360,            1595,             8115,               1650,        40.9,       39.6,              46000,               61500,                        41200,                         48680,        14.0,              71.4,         14.5
Alderwood                            ,                   20, Not an NIA or Emerging Neighbourhood                          ,            12595,            2035,             8280,               2280,        42.7,       43.2,              45200,               60200,                        40800,                         49080,        16.2,              65.7,         18.1
Humber Summit                        ,                   21, Neighbourhood Improvement Area                                ,            12185,            1840,             7935,               2410,        42.0,       40.8,              31200,               38400,                        29800,                         34080,        15.1,              65.1,         19.8
Humbermede                           ,                   22, Neighbourhood Improvement Area                                ,            16955,            3025,            11520,               2415,        38.8,       37.6,              32400,               38280,                        30600,                         34240,        17.8,              67.9,         14.2
Pelmo Park-Humberlea                 ,                   23, Not an NIA or Emerging Neighbourhood                          ,            11290,            1690,             7830,               1770,        41.2,       40.8,              39600,               49000,                        35200,                         41720,        15.0,              69.4,         15.7
Black Creek                          ,                   24, Neighbourhood Improvement Area                                ,            21145,            4005,            14125,               3010,        38.6,       37.6,              29400,               33720,                        28200,                         30800,        18.9,              66.8,         14.2
Glenfield-Jane Heights               ,                   25, Neighbourhood Improvement Area                                ,            30020,            4950,            19925,               5150,        40.8,       40.0,              30400,               35840,                        29000,                         32480,        16.5,              66.4,         17.2
York University Heights              ,                   27, Neighbourhood Improvement Area                                ,            28255,            3860,            20675,               3720,        38.9,       35.6,              32400,               39200,                        30600,                         34680,        13.7,              73.2,         13.2
Rustic                               ,                   28, Neighbourhood Improvement Area                                ,             9390,            1625,             6050,               1715,        41.3,       40.4,              31400,               40120,                        29800,                         35480,        17.3,              64.4,         18.3
Maple Leaf                           ,                   29, Not an NIA or Emerging Neighbourhood                          ,             9845,            1455,             6550,               1835,        43.0,       43.6,              37200,               47560,                        34000,                         40600,        14.8,              66.5,         18.6
Brookhaven-Amesbury                  ,                   30, Not an NIA or Emerging Neighbourhood                          ,            17495,            3065,            12000,               2430,        39.3,       38.4,              34400,               42240,                        32400,                         36920,        17.5,              68.6,         13.9
Yorkdale-Glen Park                   ,                   31, Emerging Neighbourhood                                        ,            16625,            2060,            11600,               2965,        42.0,       39.6,              36400,               46960,                        33600,                         40080,        12.4,              69.8,         17.8
