,Total_Population,Youth_Ratio,Working_Age_Ratio,Senior_Ratio,Average_Age,Median_Age,Median_Income_2020,Average_Income_2020,Median_After_Tax_Income_2020,Average_After_Tax_Income_2020,ASSAULT_2020,AUTOTHEFT_2020,BIKETHEFT_2020,BREAKENTER_2020,HOMICIDE_2020,ROBBERY_2020,SHOOTING_2020,THEFTFROMMV_2020,THEFTOVER_2020,TOTAL_CRIME_COUNT,ASSAULT_RATE_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_RATE_2020,BREAKENTER_RATE_2020,HOMICIDE_RATE_2020,ROBBERY_RATE_2020,SHOOTING_RATE_2020,THEFTFROMMV_RATE_2020,THEFTOVER_RATE_2020
Total_Population,1.0,-0.10300053245500113,0.1463278478601967,-0.1146851333811323,-0.15254691386126581,-0.20384945493956544,-0.19235572523511626,-0.21409137597216205,-0.19048297316094018,-0.21988307120468065,0.4732155076623289,0.48156610990039833,0.15720337491678035,0.3606013398061715,0.35357777236548643,0.4599976031072489,0.3825951368252197,0.5567222088872653,0.4421314304374283,0.5330054019943804,0.0780461028656161,0.16027656827516004,-0.11935076095229485,-0.08736999958242093,0.1770591639005374,0.10447324716462292,0.15952854436510733,0.03788200442302236,0.05603731116845902
Youth_Ratio,-0.10300053245500113,1.0,-0.6603209262520182,0.11523626065192866,-0.03732653690103944,0.241562161625661,-0.19580070999792304,-0.09326107929904712,-0.2015385314016184,-0.11093017975203164,-0.3322570564660039,0.08436456117134526,-0.6265946516873876,-0.5348010943866863,0.04830016398032441,-0.291055237090366,0.25016100752330395,-0.16483158504537876,-0.3280864116472107,-0.36439532815786746,-0.3387653808294138,0.16128065574707554,-0.5658491135341802,-0.5262104984082697,0.032302500434839246,-0.29400042024588113,0.28058454735152677,-0.16427359036628175,-0.3285903895613264
Working_Age_Ratio,0.1463278478601967,-0.6603209262520182,1.0,-0.8220008007410916,-0.6979026708958062,-0.8238390319729882,0.11327102681731041,-0.13023260578610454,0.1255314454841754,-0.10561102290886124,0.5099046233724037,-0.059292390434444474,0.6925105823673287,0.5784758000833081,0.12999449702352692,0.3703206019516466,-0.040807032163341125,0.2806366644017688,0.38076677987691865,0.5146862089870397,0.5341973544916719,-0.15506461497974217,0.6262299386328725,0.5555349303935451,0.14918434054659135,0.3790013775770319,-0.05673316966407296,0.28344371581540606,0.3657677640792788
Senior_Ratio,-0.1146851333811323,0.11523626065192866,-0.8220008007410916,1.0,0.9514073524300858,0.9063083319621662,-0.0017461725590080363,0.24236948216664414,-0.013586361930532028,0.22333820148068012,-0.4221730480359028,0.014925565538656238,-0.44056429442276496,-0.35997095458902045,-0.2099983849649279,-0.2681284667366178,-0.13477911369221524,-0.24498520945869592,-0.2543362133679379,-0.40395212023036187,-0.4493452001990375,0.08284110070125668,-0.39851475521648266,-0.335734094614232,-0.22347850589751198,-0.27744107743228275,-0.13735372441757748,-0.2494977776658053,-0.2335923234606632
Average_Age,-0.15254691386126581,-0.03732653690103944,-0.6979026708958062,0.9514073524300858,1.0,0.9196088657185388,0.07940532143396357,0.2645968151985088,0.06916968893585947,0.2555288673831974,-0.39578554031350494,-0.038460243850818226,-0.33898943147380445,-0.2815517483423571,-0.25280491096511887,-0.24429207165700775,-0.2591174310763905,-0.24869936809400972,-0.25139582824256435,-0.3759125782812746,-0.40837877750493784,0.024667786048824886,-0.30330050605750725,-0.24282382718810133,-0.23531541171500028,-0.2428022819556491,-0.2570863298456446,-0.23852080447778656,-0.22979510106744583
Median_Age,-0.20384945493956544,0.241562161625661,-0.8238390319729882,0.9063083319621662,0.9196088657185388,1.0,0.1540252832063616,0.326161255795693,0.14185207662826105,0.31462071395569463,-0.48772765633313986,-0.0567432969929884,-0.47430486323281684,-0.4048594296124244,-0.25912840774147466,-0.33680689220845367,-0.2391388961605096,-0.31560452956910123,-0.3525280735236934,-0.4799495441796398,-0.4951571832563166,0.027860413850684912,-0.42436037248684916,-0.35963618072791903,-0.24630033686211644,-0.3251232726743076,-0.23024703496796184,-0.29661203329643304,-0.3146592558358332
Median_Income_2020,-0.19235572523511626,-0.19580070999792304,0.11327102681731041,-0.0017461725590080363,0.07940532143396357,0.1540252832063616,1.0,0.8738135569966837,0.9990851483759073,0.9001026201246018,-0.16982870157940178,-0.23762432969645927,0.39701992392334956,0.18714152190789574,-0.26000189364602816,-0.1399520486609016,-0.41404604052405247,-0.14253662613527326,-0.01940466283992084,-0.10704169578865139,-0.15297449090171641,-0.22260885532429672,0.39215656557836726,0.2660734763805127,-0.22049763128059133,-0.09497459468907127,-0.44052523491476153,-0.07995885845105263,0.04265448271030326
Average_Income_2020,-0.21409137597216205,-0.09326107929904712,-0.13023260578610454,0.24236948216664414,0.2645968151985088,0.326161255795693,0.8738135569966837,1.0,0.8674505179783879,0.9967683432085158,-0.1838623594648261,-0.17539773084648935,0.28244361707748594,0.16024738007810507,-0.2724083876708108,-0.1276727506239133,-0.3428208686926807,-0.13722369821088215,-0.015837289812452356,-0.1203712058227973,-0.15571191266235437,-0.1335803273360933,0.30548819867694155,0.25982617613192344,-0.24543557389734563,-0.08026120989280575,-0.34858835423691575,-0.05538348521427297,0.07266032472216573
Median_After_Tax_Income_2020,-0.19048297316094018,-0.2015385314016184,0.1255314454841754,-0.013586361930532028,0.06916968893585947,0.14185207662826105,0.9990851483759073,0.8674505179783879,1.0,0.89478175745027,-0.16241207770058136,-0.23830766563627662,0.4068130852505404,0.1940319602062759,-0.25940344947901184,-0.13182006364265544,-0.4187527851993886,-0.13853191516207514,-0.013080693292746878,-0.09964570355749951,-0.14389462738011818,-0.22465431824037246,0.4017564046834969,0.2725975329169051,-0.21924834936551985,-0.08434218523897356,-0.4467971145970327,-0.07551956839075623,0.049540308589091274
Average_After_Tax_Income_2020,-0.21988307120468065,-0.11093017975203164,-0.10561102290886124,0.22333820148068012,0.2555288673831974,0.31462071395569463,0.9001026201246018,0.9967683432085158,0.89478175745027,1.0,-0.18755482075034868,-0.19232519203956464,0.30624342817151484,0.17016225844293312,-0.27912465297811223,-0.13140426392334253,-0.3657125586794149,-0.14241805414500214,-0.020474163019287252,-0.12257479525879608,-0.15830953547284682,-0.15336150458794237,0.32675043742359094,0.27030287117588336,-0.24691607898721266,-0.0820849724570841,-0.37428792386607107,-0.060068356613558006,0.06636683726370039
