Reconciled_Neighbourhood,HOOD_ID,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT,total_population
Agincourt North,129,62,52,2,18,0,7,0,32,2,175,27540.0
Agincourt South-Malvern West,128,152,39,10,44,1,19,5,86,6,362,24170.0
Alderwood,20,27,31,0,17,0,2,0,47,4,128,12595.0
Annex,95,324,39,123,157,0,52,1,82,34,812,29300.0
Banbury-Don Mills,42,86,36,12,23,0,3,2,40,8,210,27155.0
Bathurst Manor,34,55,44,5,18,0,9,1,34,1,167,15955.0
Bay Street Corridor,339,471,39,225,150,1,71,0,84,36,1077,29315.0
Bayview Village,52,71,42,11,29,0,4,3,45,9,214,22330.0
Bayview Woods-Steeles,49,26,27,1,10,0,2,0,26,2,94,12085.0
Bedford Park-Nortown,39,44,105,3,30,0,10,2,50,4,248,22145.0
Beechborough-Greenbrook,112,58,18,0,7,2,13,5,13,0,116,6260.0
Bendale,313,190,91,7,23,0,56,7,67,7,448,29410.0
Birchcliffe-Cliffside,122,142,31,11,42,0,14,1,68,4,313,22700.0
Black Creek,24,212,65,7,27,0,15,15,66,9,416,21145.0
Blake-Jones,69,47,5,19,27,0,13,1,13,2,127,7475.0
Briar Hill-Belgravia,108,71,28,1,40,1,16,0,60,3,220,14575.0
Bridle Path-Sunnybrook-York Mills,41,43,39,1,19,0,5,0,12,1,120,8940.0
Broadview North,57,55,11,10,18,1,10,1,22,1,129,10955.0
Brookhaven-Amesbury,30,123,49,7,25,3,15,4,47,5,278,17495.0
Cabbagetown-South St.James Town,71,125,5,38,68,1,14,0,50,7,308,
Caledonia-Fairbank,109,64,8,3,10,0,2,2,20,5,114,10015.0
Casa Loma,96,46,21,18,35,0,1,1,8,4,134,11350.0
Centennial Scarborough,133,37,23,0,5,0,6,0,36,2,109,13380.0
Church-Yonge Corridor,335,997,78,263,248,0,137,9,172,47,1951,40020.0
Clairlea-Birchmount,120,231,49,12,57,1,9,2,140,14,515,26840.0
Clanton Park,33,94,90,12,36,1,13,0,74,7,327,17620.0
Cliffcrest,123,98,31,2,30,1,13,0,73,3,251,16130.0
Corso Italia-Davenport,92,119,24,12,31,0,1,0,23,4,214,13200.0
Danforth,66,92,22,66,51,0,12,0,51,5,299,9305.0
Danforth East York,59,58,16,22,23,0,5,1,58,4,187,17065.0
Don Valley Village,47,125,34,17,31,0,17,2,63,11,300,26775.0
Dorset Park,126,141,49,8,38,3,17,6,92,4,358,24305.0
Dovercourt-Wallace Emerson-Junction,343,297,44,63,95,0,33,6,71,10,619,35560.0
Downsview-Roding-CFB,309,430,176,15,91,0,40,9,169,23,953,39390.0
Dufferin Grove,83,79,20,28,29,0,4,1,23,3,187,11215.0
East End-Danforth,62,184,39,42,67,2,28,2,83,8,455,21840.0
Edenbridge-Humber Valley,9,35,30,6,16,0,1,2,24,2,116,15190.0
Eglinton East,138,162,42,2,30,3,17,8,50,1,315,22535.0
Elms-Old Rexdale,5,69,51,0,10,0,7,7,18,3,165,9355.0
Englemount-Lawrence,32,88,37,13,23,1,7,4,62,9,244,21285.0
Eringate-Centennial-West Deane,11,39,66,0,14,0,4,1,34,2,160,18450.0
Etobicoke West Mall,13,47,17,4,12,0,2,0,18,3,103,11865.0
Flemingdon Park,44,147,17,5,10,1,4,8,35,2,229,22530.0
Forest Hill North,102,40,37,5,12,0,3,1,39,2,139,12290.0
Forest Hill South,101,16,75,21,25,0,2,0,27,3,169,10860.0
Glenfield-Jane Heights,25,309,106,6,41,5,26,17,95,7,612,30020.0
Greenwood-Coxwell,65,109,18,61,38,0,14,2,59,7,308,14120.0
Guildwood,140,36,13,0,7,2,4,0,33,0,95,9680.0
Henry Farm,53,94,33,19,24,0,7,0,100,6,283,19840.0
High Park North,88,99,20,32,38,0,12,0,29,5,235,21855.0
