Reconciled_Neighbourhood,neighbourhood_id,total_population,median_income,average_income,median_after_tax_income,average_after_tax_income,market_income_percent,employment_income_percent,government_support_percent,low_income_percent,percent_without_income,median_to_average_ratio,is_improvement_area,tsns_designation
Agincourt North,129.0,27540,30000.0,38480.0,28200.0,33960.0,70.6,57.6,11.4,12.4,4.992749119535944,0.7796257796257795,0.0,Not an NIA or Emerging Neighbourhood
Agincourt South-Malvern West,128.0,24170,32000.0,41600.0,30400.0,36000.0,75.2,63.5,10.3,13.0,5.457122608079376,0.7692307692307694,0.0,Not an NIA or Emerging Neighbourhood
Alderwood,20.0,12595,45200.0,60200.0,40800.0,49080.0,84.6,74.4,5.1,6.2,2.842254855518712,0.7508305647840533,0.0,Not an NIA or Emerging Neighbourhood
Annex,95.0,29300,51600.0,115000.0,45600.0,80700.0,93.4,67.2,2.6,14.4,2.8475711892797317,0.448695652173913,0.0,Not an NIA or Emerging Neighbourhood
Banbury-Don Mills,42.0,27155,46400.0,77800.0,41600.0,59000.0,88.2,63.0,3.7,11.1,4.117398648648648,0.596401028277635,0.0,Not an NIA or Emerging Neighbourhood
Bathurst Manor,34.0,15955,37600.0,54400.0,34800.0,42560.0,81.6,67.8,7.1,11.4,4.824561403508771,0.6911764705882353,0.0,Not an NIA or Emerging Neighbourhood
Bay Street Corridor,169.4313491386662,29315,41497.93621013133,67119.5633634658,38352.85689919836,51861.51969981238,91.51761896639945,70.86634828586048,4.056865086133379,26.972659048268806,6.019226763880957,0.6179364351893909,0.0,Not an NIA or Emerging Neighbourhood
Bayview Village,52.0,22330,43200.0,59350.0,38800.0,46960.0,86.6,67.4,5.8,16.4,4.815650865312264,0.7278854254422915,0.0,Not an NIA or Emerging Neighbourhood
Bayview Woods-Steeles,49.0,12085,38000.0,56350.0,34400.0,46120.0,81.6,56.0,6.2,11.9,3.9925719591457756,0.6743566992014197,0.0,Not an NIA or Emerging Neighbourhood
Bedford Park-Nortown,39.0,22145,54000.0,127100.0,47200.0,87200.0,93.8,65.8,2.1,7.2,3.909691629955947,0.42486231313926043,0.0,Not an NIA or Emerging Neighbourhood
Beechborough-Greenbrook,112.0,6260,34000.0,41880.0,31400.0,36280.0,71.2,63.2,10.3,18.0,6.596558317399618,0.8118433619866285,1.0,Neighbourhood Improvement Area
Bendale,156.3646718803128,29410,33708.26249574975,42067.8068684121,31581.19687181231,36661.19687181231,74.87065623937437,64.45413124787487,9.201139068344101,14.337895273716423,6.2349578832838395,0.8013157327429976,0.0,Not an NIA or Emerging Neighbourhood
Birchcliffe-Cliffside,122.0,22700,44000.0,68400.0,39600.0,53600.0,86.0,71.2,4.8,9.7,4.049844236760125,0.6432748538011696,0.0,Not an NIA or Emerging Neighbourhood
Black Creek,24.0,21145,29400.0,33720.0,28200.0,30800.0,60.2,54.9,14.7,19.4,6.534422403733956,0.8718861209964414,1.0,Neighbourhood Improvement Area
Blake-Jones,69.0,7475,38400.0,63050.0,34800.0,50200.0,84.6,73.6,5.6,15.2,4.5893719806763285,0.6090404440919904,0.0,Not an NIA or Emerging Neighbourhood
Briar Hill-Belgravia,108.0,14575,37200.0,47240.0,34400.0,40400.0,78.8,71.4,8.3,11.5,3.9857932123125495,0.7874682472480948,0.0,Not an NIA or Emerging Neighbourhood
