AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
Agincourt North,129.0,82.0,18.0,2.0,49.0,0.0,15.0,1.0,48.0,5.0,220.0,Agincourt North,129.0,62.0,52.0,2.0,18.0,0.0,7.0,0.0,32.0,2.0,175.0,27540.0,-20.0,-24.390243902439025,34.0,188.88888888888889,0.0,0.0,-31.0,-63.26530612244898,0.0,,-8.0,-53.333333333333336,-1.0,-100.0,-16.0,-33.33333333333333,-3.0,-60.0,-45.0,-20.454545454545457
Agincourt South-Malvern West,128.0,130.0,27.0,3.0,61.0,0.0,21.0,2.0,62.0,12.0,318.0,Agincourt South-Malvern West,128.0,152.0,39.0,10.0,44.0,1.0,19.0,5.0,86.0,6.0,362.0,24170.0,22.0,16.923076923076923,12.0,44.44444444444444,7.0,233.33333333333334,-17.0,-27.86885245901639,1.0,inf,-2.0,-9.523809523809524,3.0,150.0,24.0,38.70967741935484,-6.0,-50.0,44.0,13.836477987421384
Alderwood,20.0,39.0,17.0,3.0,26.0,0.0,10.0,0.0,45.0,10.0,150.0,Alderwood,20.0,27.0,31.0,0.0,17.0,0.0,2.0,0.0,47.0,4.0,128.0,12595.0,-12.0,-30.76923076923077,14.0,82.35294117647058,-3.0,-100.0,-9.0,-34.61538461538461,0.0,,-8.0,-80.0,0.0,,2.0,4.444444444444445,-6.0,-60.0,-22.0,-14.666666666666666
Annex,95.0,283.0,20.0,128.0,124.0,0.0,49.0,5.0,169.0,23.0,801.0,Annex,95.0,324.0,39.0,123.0,157.0,0.0,52.0,1.0,82.0,34.0,812.0,29300.0,41.0,14.487632508833922,19.0,95.0,-5.0,-3.90625,33.0,26.61290322580645,0.0,,3.0,6.122448979591836,-4.0,-80.0,-87.0,-51.4792899408284,11.0,47.82608695652174,11.0,1.373283395755306
Avondale,153.0,37.0,5.0,14.0,7.0,0.0,1.0,0.0,14.0,5.0,83.0,Avondale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banbury-Don Mills,42.0,84.0,8.0,4.0,57.0,0.0,18.0,2.0,48.0,11.0,232.0,Banbury-Don Mills,42.0,86.0,36.0,12.0,23.0,0.0,3.0,2.0,40.0,8.0,210.0,27155.0,2.0,2.380952380952381,28.0,350.0,8.0,200.0,-34.0,-59.64912280701754,0.0,,-15.0,-83.33333333333334,0.0,0.0,-8.0,-16.666666666666664,-3.0,-27.27272727272727,-22.0,-9.482758620689655
Bathurst Manor,34.0,72.0,25.0,4.0,33.0,0.0,11.0,0.0,34.0,4.0,183.0,Bathurst Manor,34.0,55.0,44.0,5.0,18.0,0.0,9.0,1.0,34.0,1.0,167.0,15955.0,-17.0,-23.61111111111111,19.0,76.0,1.0,25.0,-15.0,-45.45454545454545,0.0,,-2.0,-18.181818181818183,1.0,inf,0.0,0.0,-3.0,-75.0,-16.0,-8.743169398907105
,,,,,,,,,,,,Bay Street Corridor,339.0,471.0,39.0,225.0,150.0,1.0,71.0,0.0,84.0,36.0,1077.0,29315.0,,,,,,,,,,,,,,,,,,,,
Bay-Cloverhill,169.0,122.0,6.0,97.0,59.0,0.0,19.0,0.0,25.0,13.0,341.0,Bay-Cloverhill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayview Village,52.0,78.0,14.0,25.0,33.0,0.0,11.0,0.0,42.0,5.0,208.0,Bayview Village,52.0,71.0,42.0,11.0,29.0,0.0,4.0,3.0,45.0,9.0,214.0,22330.0,-7.0,-8.974358974358974,28.0,200.0,-14.0,-56.00000000000001,-4.0,-12.121212121212121,0.0,,-7.0,-63.63636363636363,3.0,inf,3.0,7.142857142857142,4.0,80.0,6.0,2.8846153846153846
Bayview Woods-Steeles,49.0,37.0,18.0,1.0,33.0,0.0,0.0,1.0,15.0,1.0,106.0,Bayview Woods-Steeles,49.0,26.0,27.0,1.0,10.0,0.0,2.0,0.0,26.0,2.0,94.0,12085.0,-11.0,-29.72972972972973,9.0,50.0,0.0,0.0,-23.0,-69.6969696969697,0.0,,2.0,inf,-1.0,-100.0,11.0,73.33333333333333,1.0,100.0,-12.0,-11.320754716981133
Bedford Park-Nortown,39.0,34.0,30.0,20.0,100.0,0.0,18.0,1.0,46.0,7.0,256.0,Bedford Park-Nortown,39.0,44.0,105.0,3.0,30.0,0.0,10.0,2.0,50.0,4.0,248.0,22145.0,10.0,29.411764705882355,75.0,250.0,-17.0,-85.0,-70.0,-70.0,0.0,,-8.0,-44.44444444444444,1.0,100.0,4.0,8.695652173913043,-3.0,-42.857142857142854,-8.0,-3.125
Beechborough-Greenbrook,112.0,63.0,9.0,1.0,11.0,0.0,25.0,1.0,9.0,4.0,123.0,Beechborough-Greenbrook,112.0,58.0,18.0,0.0,7.0,2.0,13.0,5.0,13.0,0.0,116.0,6260.0,-5.0,-7.936507936507936,9.0,100.0,-1.0,-100.0,-4.0,-36.36363636363637,2.0,inf,-12.0,-48.0,4.0,400.0,4.0,44.44444444444444,-4.0,-100.0,-7.0,-5.691056910569105
,,,,,,,,,,,,Bendale,313.0,190.0,91.0,7.0,23.0,0.0,56.0,7.0,67.0,7.0,448.0,29410.0,,,,,,,,,,,,,,,,,,,,
