Reconciled_Neighbourhood,total_population_2016,low_income_percent_2016,is_improvement_area_2016,total_population_2021,low_income_percent_2021,is_improvement_area_2021,population_change,population_percent_change,low_income_percent_change
Agincourt North,29113,21.3,0,27540,12.4,0.0,-1573,-5.4030845326829935,-8.9
Agincourt South-Malvern West,23757,22.6,0,24170,13.0,0.0,413,1.738434987582607,-9.600000000000001
Alderwood,12054,8.2,0,12595,6.2,0.0,541,4.488136718101875,-1.9999999999999991
Annex,30526,18.3,0,29300,14.4,0.0,-1226,-4.01624844394942,-3.9000000000000004
Banbury-Don Mills,27695,13.7,0,27155,11.1,0.0,-540,-1.9498104350965877,-2.5999999999999996
Bathurst Manor,15873,17.0,0,15955,11.4,0.0,82,0.5166005166005165,-5.6
Bay Street Corridor,25797,37.7,0,29315,26.972659048268806,0.0,3518,13.63724464084971,-10.727340951731197
Bayview Village,21396,23.7,0,22330,16.4,0.0,934,4.365301925593569,-7.300000000000001
Bayview Woods-Steeles,13154,18.4,0,12085,11.9,0.0,-1069,-8.126805534438192,-6.499999999999998
Bedford Park-Nortown,23236,9.4,0,22145,7.2,0.0,-1091,-4.6953003959373385,-2.2
Beechborough-Greenbrook,6577,28.0,1,6260,18.0,1.0,-317,-4.819826668693934,-10.0
Bendale,29960,23.4,0,29410,14.337895273716423,0.0,-550,-1.8357810413885183,-9.062104726283575
Birchcliffe-Cliffside,22291,14.5,0,22700,9.7,0.0,409,1.8348212282984162,-4.800000000000001
Black Creek,21737,33.0,1,21145,19.4,1.0,-592,-2.7234668997561764,-13.600000000000001
Blake-Jones,7727,24.5,0,7475,15.2,0.0,-252,-3.2612915749967644,-9.3
Briar Hill-Belgravia,14257,17.0,0,14575,11.5,0.0,318,2.2304832713754648,-5.5
Bridle Path-Sunnybrook-York Mills,9266,8.8,0,8940,9.1,0.0,-326,-3.518238722210231,0.29999999999999893
Broadview North,11499,22.6,0,10955,14.6,0.0,-544,-4.730846160535699,-8.000000000000002
Brookhaven-Amesbury,17757,24.7,0,17495,13.8,0.0,-262,-1.475474460776032,-10.899999999999999
Cabbagetown-South St. James Town,11669,20.8,0,11020,15.0,0.0,-649,-5.561744793898363,-5.800000000000001
Caledonia-Fairbank,9955,14.2,0,10015,10.6,0.0,60,0.6027122049221497,-3.5999999999999996
Casa Loma,10968,12.5,0,11350,10.7,0.0,382,3.482859226841721,-1.8000000000000007
Centennial Scarborough,13362,6.2,0,13380,4.4,0.0,18,0.13471037269869782,-1.7999999999999998
Church-Yonge Corridor,31340,26.0,0,40020,22.901949025487255,0.0,8680,27.696234843650284,-3.098050974512745
Clairlea-Birchmount,26984,19.5,0,26840,11.5,0.0,-144,-0.5336495701156241,-8.0
Clanton Park,16472,14.9,0,17620,10.6,0.0,1148,6.969402622632345,-4.300000000000001
Cliffcrest,15935,17.9,0,16130,11.1,0.0,195,1.2237213680577346,-6.799999999999999
Corso Italia-Davenport,14133,13.4,0,13200,8.8,0.0,-933,-6.601570791763957,-4.6
Danforth,9666,14.2,0,9305,10.3,0.0,-361,-3.7347403269190975,-3.8999999999999986
Danforth East York,17180,13.6,0,17065,9.3,0.0,-115,-0.6693830034924331,-4.299999999999999
Don Valley Village,27051,23.5,0,26775,13.5,0.0,-276,-1.0202949983364755,-10.0
Dorset Park,25003,22.3,0,24305,13.0,0.0,-698,-2.791665000199976,-9.3
Dovercourt-Wallace Emerson-Junction,36625,17.1,0,35560,10.782227221597301,0.0,-1065,-2.907849829351536,-6.3177727784027
Downsview-Roding-CFB,35052,19.4,1,39390,12.21020563594821,1.0,4338,12.375898664840808,-7.189794364051789
Dufferin Grove,11785,18.0,0,11215,11.7,0.0,-570,-4.836656767076793,-6.300000000000001
East End-Danforth,21381,18.8,0,21840,11.9,0.0,459,2.146765820120668,-6.9
Edenbridge-Humber Valley,15535,10.5,0,15190,8.2,0.0,-345,-2.2207917605407146,-2.3000000000000007
Eglinton East,22776,26.0,1,22535,13.9,1.0,-241,-1.0581313663505443,-12.1
Elms-Old Rexdale,9456,23.2,1,9355,12.4,1.0,-101,-1.0681049069373942,-10.799999999999999
Englemount-Lawrence,22372,21.3,0,21285,13.4,0.0,-1087,-4.858752011442875,-7.9
Eringate-Centennial-West Deane,18588,9.7,0,18450,5.6,0.0,-138,-0.7424144609425436,-4.1
Etobicoke West Mall,11848,18.3,0,11865,11.0,0.0,17,0.14348413234301147,-7.300000000000001
Flemingdon Park,21933,34.7,1,22530,19.9,1.0,597,2.7219258651347285,-14.800000000000004
Forest Hill North,12806,15.5,0,12290,10.8,0.0,-516,-4.029361236920194,-4.699999999999999
Forest Hill South,10732,10.7,0,10860,9.8,0.0,128,1.1926947446887812,-0.8999999999999986
Glenfield-Jane Heights,30491,25.7,1,30020,14.9,1.0,-471,-1.5447181135417007,-10.799999999999999
Greenwood-Coxwell,14417,19.7,0,14120,12.0,0.0,-297,-2.0600679753069295,-7.699999999999999
Guildwood,9917,7.7,0,9680,5.8,0.0,-237,-2.3898356357769486,-1.9000000000000004
Henry Farm,15723,29.6,0,19840,17.2,0.0,4117,26.184570374610445,-12.400000000000002
High Park North,22162,16.5,0,21855,11.9,0.0,-307,-1.3852540384441838,-4.6
High Park-Swansea,23925,11.1,0,22665,8.5,0.0,-1260,-5.266457680250784,-2.5999999999999996
Highland Creek,12494,10.5,0,12625,6.4,0.0,131,1.048503281575156,-4.1
Hillcrest Village,16934,21.9,0,16345,15.6,0.0,-589,-3.478209519310264,-6.299999999999999
Humber Heights-Westmount,10948,14.6,0,10005,10.2,0.0,-943,-8.61344537815126,-4.4
Humber Summit,12416,19.7,1,12185,12.2,1.0,-231,-1.8605025773195876,-7.5
Humbermede,15545,22.7,1,16955,13.3,1.0,1410,9.070440656159537,-9.399999999999999
Humewood-Cedarvale,14365,15.7,0,13845,11.2,0.0,-520,-3.619909502262444,-4.5
Ionview,13641,23.3,1,13365,13.8,1.0,-276,-2.0233120738948758,-9.5
Islington-City Centre West,43965,15.8,0,47060,11.057586060348491,0.0,3095,7.039690663027407,-4.7424139396515095
Junction Area,14366,13.5,0,14010,8.8,0.0,-356,-2.478073228456077,-4.699999999999999
Keelesdale-Eglinton West,11058,18.3,1,11390,12.5,1.0,332,3.0023512389220475,-5.800000000000001
Kennedy Park,17123,26.3,1,17110,17.0,1.0,-13,-0.07592127547742802,-9.3
Kensington-Chinatown,17945,33.2,0,18120,23.0,0.0,175,0.9752020061298413,-10.200000000000003
Kingsview Village-The Westway,22000,24.9,1,22005,14.7,1.0,5,0.022727272727272728,-10.2
Kingsway South,9271,4.5,0,8855,4.3,0.0,-416,-4.487110344083702,-0.20000000000000018
L'Amoreaux,43993,23.5,0,43040,14.651335966542751,0.0,-953,-2.166253722183075,-8.848664033457249
Lambton Baby Point,7985,18.5,0,7965,12.0,0.0,-20,-0.25046963055729493,-6.5
Lansing-Westgate,16164,17.6,0,15910,11.8,0.0,-254,-1.5713932195001237,-5.800000000000001
