neighbourhood_name,neighbourhood_id,tsns_designation,total_population,low_income_percent,is_improvement_area,AREA_NAME,HOOD_ID,ASSAULT_2016,ASSAULT_RATE_2016,AUTOTHEFT_2016,AUTOTHEFT_RATE_2016,BIKETHEFT_2016,BIKETHEFT_RATE_2016,BREAKENTER_2016,BREAKENTER_RATE_2016,HOMICIDE_2016,HOMICIDE_RATE_2016,ROBBERY_2016,ROBBERY_RATE_2016,SHOOTING_2016,SHOOTING_RATE_2016,THEFTFROMMV_2016,THEFTFROMMV_RATE_2016,THEFTOVER_2016,THEFTOVER_RATE_2016,TOTAL_CRIME_COUNT,Income_Group
Agincourt North,129,No Designation,29113,21.3,0,Agincourt North,129,82,274.09,18,60.17,2,6.69,49,163.79,0,0.0,15,50.14,1,3.34,48,160.44,5,16.71,220,Low
Agincourt South-Malvern West,128,No Designation,23757,22.6,0,Agincourt South-Malvern West,128,130,530.96,27,110.28,3,12.25,61,249.14,0,0.0,21,85.77,2,8.17,62,253.23,12,49.01,318,Low
Alderwood,20,No Designation,12054,8.2,0,Alderwood,20,39,314.21,17,136.96,3,24.17,26,209.47,0,0.0,10,80.57,0,0.0,45,362.55,10,80.57,150,Very High
Annex,95,No Designation,30526,18.3,0,Annex,95,283,894.49,20,63.22,128,404.58,124,391.93,0,0.0,49,154.88,5,15.8,169,534.17,23,72.7,801,Medium
Banbury-Don Mills,42,No Designation,27695,13.7,0,Banbury-Don Mills,42,84,295.82,8,28.17,4,14.09,57,200.73,0,0.0,18,63.39,2,7.04,48,169.04,11,38.74,232,High
Bathurst Manor,34,No Designation,15873,17.0,0,Bathurst Manor,34,72,440.85,25,153.07,4,24.49,33,202.06,0,0.0,11,67.35,0,0.0,34,208.18,4,24.49,183,Medium
Bayview Village,52,No Designation,21396,23.7,0,Bayview Village,52,78,352.53,14,63.27,25,112.99,33,149.15,0,0.0,11,49.72,0,0.0,42,189.82,5,22.6,208,Low
Bayview Woods-Steeles,49,No Designation,13154,18.4,0,Bayview Woods-Steeles,49,37,274.68,18,133.63,1,7.42,33,244.99,0,0.0,0,0.0,1,7.42,15,111.36,1,7.42,106,Medium
Bedford Park-Nortown,39,No Designation,23236,9.4,0,Bedford Park-Nortown,39,34,142.76,30,125.96,20,83.97,100,419.87,0,0.0,18,75.58,1,4.2,46,193.14,7,29.39,256,Very High
Beechborough-Greenbrook,112,NIA,6577,28.0,1,Beechborough-Greenbrook,112,63,930.03,9,132.86,1,14.76,11,162.39,0,0.0,25,369.06,1,14.76,9,132.86,4,59.05,123,Very Low
Birchcliffe-Cliffside,122,No Designation,22291,14.5,0,Birchcliffe-Cliffside,122,198,865.2,15,65.55,22,96.13,76,332.1,0,0.0,25,109.24,0,0.0,93,406.38,6,26.22,435,High
Black Creek,24,NIA,21737,33.0,1,Black Creek,24,279,1246.7,51,227.89,4,17.87,27,120.65,1,4.47,42,187.68,16,71.5,55,245.77,8,35.75,483,Very Low
Blake-Jones,69,No Designation,7727,24.5,0,Blake-Jones,69,64,803.21,5,62.75,11,138.05,23,288.65,1,12.55,11,138.05,4,50.2,21,263.55,0,0.0,140,Low
Briar Hill-Belgravia,108,No Designation,14257,17.0,0,Briar Hill-Belgravia,108,81,550.98,18,122.44,7,47.62,31,210.87,0,0.0,28,190.46,2,13.6,32,217.67,4,27.21,203,Medium
Bridle Path-Sunnybrook-York Mills,41,No Designation,9266,8.8,0,Bridle Path-Sunnybrook-York Mills,41,18,182.82,11,111.72,6,60.94,49,497.66,0,0.0,2,20.31,0,0.0,12,121.88,5,50.78,103,Very High
Broadview North,57,No Designation,11499,22.6,0,Broadview North,57,46,384.45,7,58.5,16,133.72,16,133.72,0,0.0,11,91.93,1,8.36,24,200.59,2,16.72,123,Low
Brookhaven-Amesbury,30,No Designation,17757,24.7,0,Brookhaven-Amesbury,30,108,590.23,30,163.95,4,21.86,31,169.42,0,0.0,30,163.95,3,16.4,26,142.09,1,5.47,233,Low
Cabbagetown-South St.James Town,71,No Designation,11669,20.8,0,Cabbagetown-South St.James Town,71,132,1093.71,10,82.86,65,538.57,51,422.57,0,0.0,27,223.71,0,0.0,108,894.85,7,58.0,400,Low
Caledonia-Fairbank,109,No Designation,9955,14.2,0,Caledonia-Fairbank,109,58,564.48,10,97.32,5,48.66,13,126.52,0,0.0,12,116.79,0,0.0,11,107.06,1,9.73,110,High
Casa Loma,96,No Designation,10968,12.5,0,Casa Loma,96,43,380.97,5,44.3,15,132.9,19,168.34,0,0.0,2,17.72,0,0.0,23,203.77,7,62.02,114,Very High
Centennial Scarborough,133,No Designation,13362,6.2,0,Centennial Scarborough,133,48,349.88,5,36.45,6,43.73,18,131.2,0,0.0,11,80.18,2,14.58,47,342.59,1,7.29,138,Very High
Clairlea-Birchmount,120,No Designation,26984,19.5,0,Clairlea-Birchmount,120,241,866.88,47,169.06,8,28.78,87,312.94,1,3.6,44,158.27,0,0.0,109,392.07,18,64.75,555,Medium
