crime_type,predictor,year,dispersion,poisson_aic,poisson_pseudo_r2,nb_aic,nb_pseudo_r2
ASSAULT,total_population,2016,66.00946118830146,4747.80265033331,0.4032248385351541,1368.2000211119596,0.38643524619966296
ASSAULT,total_population,2021,82.18778922227197,7792.508458435931,0.30747384862620675,1761.2704349645041,0.32679572850532934
ASSAULT,low_income_percent,2016,66.00946118830146,5559.629226023171,0.28147721300078377,1370.9116924645455,0.34322233005205105
ASSAULT,low_income_percent,2021,82.18778922227197,7606.839333931004,0.3263597978825161,1759.7086425210555,0.34645722479039065
BREAKENTER,total_population,2016,16.725172631911864,1670.2071991135958,0.4222706696056132,1138.4180641342882,0.4171354163026765
BREAKENTER,total_population,2021,27.17823959607527,3133.3909409964854,0.26037464121001697,1394.9190673193048,0.26473634829825576
BREAKENTER,low_income_percent,2016,16.725172631911864,2393.146422104139,0.00886576351441326,1155.3964656232185,0.009847923331016473
BREAKENTER,low_income_percent,2021,27.17823959607527,3601.427503784964,0.11230236268686056,1407.189550860904,0.11717874251079297
ROBBERY,total_population,2016,18.518908682014562,1689.5153606044944,0.3773705382472896,989.5647749916113,0.3060672399362293
ROBBERY,total_population,2021,14.123708559810797,1856.732483250266,0.23709644603452062,1116.1365624532564,0.21881774440116086
ROBBERY,low_income_percent,2016,18.518908682014562,2105.8983677406295,0.1466740432038406,1001.6461742509234,0.16185721179944235
ROBBERY,low_income_percent,2021,14.123708559810797,1818.9158300316608,0.2607683272583722,1114.9378115395834,0.22964252461974077
AUTOTHEFT,total_population,2016,45.57666199228106,1972.3848430958972,0.41444760593293184,968.5595436871922,0.4070378724046583
AUTOTHEFT,total_population,2021,50.096579575097294,3531.1139894578823,0.3491176464505016,1439.983613632142,0.3476278246512361
AUTOTHEFT,low_income_percent,2016,45.57666199228106,2962.7649657201923,0.004080691396969094,1003.274421880131,0.007372904383719958
AUTOTHEFT,low_income_percent,2021,50.096579575097294,4926.293511923439,0.013956442943742875,1467.6212480715658,0.018080178562568272
